mathemat,1.4784096500276964
theori,1.570217199280819
use,1.3573830176254706
number,1.6347557204183902
physic,1.5880026317140354
scienc,1.4581484648878744
one,1.4271163556401458
work,1.4653375684603436
univers,1.581498543744859
displaystyl,3.5996483203859935
equat,1.9853442183007204
time,1.4638956071434424
theorem,2.183321672167228
also,1.4201959127955721
first,1.5156440331477397
algebra,2.0688313625678205
studi,1.6061101223414258
space,1.8664830154239915
histori,1.6838023277229628
two,1.6044503709230613
function,2.05572501506252
new,1.535568063867645
system,1.862181933524601
field,1.6982691261407161
quantum,2.2256240518579173
geometri,2.1803674602697964
set,1.797777541553618
gener,1.5847452998437288
problem,1.7147984280919266
model,2.098284629481316
develop,1.5278579254416773
exampl,1.7957674906255938
project,1.9310215365615626
solut,2.1230451791619678
atom,2.286055791042835
comput,1.9519282213808764
differenti,2.4690333006317102
class,2.4304184645039304
mathematician,2.168637120484307
edit,2.2256240518579173
state,1.75061752589688
isbn,3.079113882493042
group,2.0874737133771
would,1.7758861200717648
book,1.8838747581358606
world,1.6416168107983355
research,1.7622006669865107
complex,2.045362228026973
pp,3.131170244449095
prime,2.807870536384421
math,2.114723355824476
year,1.720369473141382
form,1.793761471898728
mechan,2.19223703582518
may,1.7297240783086023
right,1.7818091383748869
origin,2.0874737133771
mani,1.6364665848220197
bomb,2.7333680090865
applic,1.982919974689214
differ,1.6946327584973322
relat,1.6784307839210517
analysi,2.145581344184381
articl,1.862181933524601
question,1.9310215365615626
natur,1.793761471898728
properti,1.9975543822076518
point,1.91959284073794
doi,2.995732273553991
method,1.9805015938249324
american,2.302585092994046
call,1.8664830154239915
learn,1.6660082639224947
calculu,2.501036031717884
term,1.6713133161521878
follow,1.6713133161521878
energi,2.207274913189721
like,1.7092582477163114
known,1.789761466565382
feynman,3.116018439428493
inform,1.7758861200717648
oper,2.1715568305876416
archiv,2.664033315685436
retriev,3.036554268074246
see,1.7563923253907636
element,2.2164073967529934
us,1.554318613213021
probabl,2.2730262907525014
result,1.7818091383748869
includ,1.6519975268528964
life,1.9015743352352616
law,2.050530198185416
determin,2.098284629481316
statist,2.241176464865402
nuclear,2.5682882587270512
press,2.3092740811448422
vector,2.870569130599985
way,1.7563923253907636
process,2.1010057195956766
object,2.183321672167228
newton,2.9565115604007097
content,1.6245515502441485
left,2.286055791042835
import,1.720369473141382
integr,2.302585092994046
find,1.7563923253907636
logic,2.5215706341595916
make,1.7391670191088844
could,1.9105430052180221
proof,2.4729780789227265
measur,2.183321672167228
help,1.7467861035853238
topolog,2.900422093749666
search,1.6766466621275504
engin,2.027481802749125
structur,2.1258345812495465
main,1.8493885820646914
publish,2.0024805005437076
categori,2.6127400212978853
data,2.13989951071695
concept,1.9127977976051111
given,2.0149030205422647
product,2.030016658352313
centuri,2.137070654516472
continu,1.7957674906255938
creat,1.8058583936075567
understand,1.8729695246535982
particl,2.5425357626246368
appli,1.9542783987258299
paper,2.2665746554710124
statement,2.2633643798407643
contribut,1.862181933524601
real,2.1599287925925226
scientist,1.9877743531540122
manhattan,2.786011742571922
student,2.0000144080485143
definit,2.2697952701710546
order,2.1286317858706076
non,2.1484344131667874
solv,2.1037342342488805
chang,1.9218681545750755
test,2.204249192273184
linear,2.5902671654458267
scientif,1.9780890474195485
educ,2.074122380202236
made,1.8472721791583138
oppenheim,3.2188758248682006
philosophi,2.449539505950709
valu,2.2164073967529934
read,1.8557647992039674
part,1.8140050781753747
show,1.8949002281475684
principl,2.168637120484307
unit,2.076778424260352
war,2.407945608651872
ring,3.093712681914195
view,1.8472721791583138
note,2.0901655050428114
describ,2.0124061403436775
even,1.8993446799079925
john,2.4572914827550267
posit,2.1037342342488805
later,2.004952689689097
provid,1.8729695246535982
experi,1.9975543822076518
calcul,2.0794415416798357
area,1.995100393246085
matrix,3.170085660698769
get,1.9495835544216222
nation,2.222542385320509
line,2.2601643771100934
three,2.027481802749125
mean,2.0249533563957662
second,1.995100393246085
foundat,2.047942874620465
construct,2.282782465697866
cours,2.1230451791619678
game,2.668829487948929
school,2.114723355824476
power,1.9173226922034008
base,1.9127977976051111
possibl,2.0024805005437076
physicist,2.1952265746735464
need,1.9708861351254905
type,2.047942874620465
born,2.396895772465287
advanc,1.9805015938249324
de,2.5425357626246368
consid,1.9853442183007204
defin,2.282782465697866
addit,1.9472443720684498
well,1.8305002975444855
graph,3.02276094594191
refer,1.933323033549842
exist,2.1427363920521496
design,2.117489609317366
frac,4.177726171161152
modern,2.13989951071695
case,2.1952265746735464
howev,2.007431005703564
polici,1.8078888511579387
map,2.4849066497880004
seri,2.2164073967529934
name,1.9379419794061366
societi,2.3059239942595604
free,2.1064702140677554
sinc,2.0531242333624626
institut,2.2537949288246137
euler,3.235682943184582
ed,2.94377253462328
move,2.1230451791619678
prove,2.219470186283539
technolog,1.940259477546499
econom,2.8023608805734512
deriv,2.5091993423570447
page,1.9637347339678652
link,2.027481802749125
public,2.145581344184381
account,2.15129564544782
classic,2.360920670007009
prize,2.5770219386958058
fact,2.050530198185416
cambridg,2.6931615886084597
take,1.9495835544216222
list,2.027481802749125
share,1.9708861351254905
found,2.0249533563957662
fundament,2.0901655050428114
theoret,2.1541650878757723
languag,2.2164073967529934
requir,2.0427882240318005
observ,2.3823500614629083
euclidean,3.101092789211817
transform,2.5510464522925456
york,2.4116561880484078
author,2.076778424260352
idea,2.0402208285265546
reason,2.37874645395961
everi,2.0249533563957662
peopl,2.0149030205422647
formula,2.434213535472482
squar,2.4304184645039304
earli,2.15129564544782
site,1.9902104079518932
chapter,2.65450943417418
